Time_step,gnss_dr_lat,gnss_dr_long,vrtk_lat,vrtk_long,gt_lat,gt_long,vrtk_plus_code
160,37.376611,126.6664197,37.3767053,126.6665128,37.3767253,126.6665328,8Q989MG8+HW35
161,37.37660067,126.6664055,37.3767044,126.6665158,37.376724,126.6665354,8Q989MG8+HW46
162,37.3765995,126.6663932,37.3767035,126.6665188,37.3767227,126.666538,8Q989MG8+HW4C
163,37.37658533,126.6663777,37.37670246,126.6665221,37.37672126,126.6665409,8Q989MG8+HW4M
164,37.37657783,126.6663765,37.37670145,126.6665254,37.37671985,126.6665438,8Q989MG8+HW4V
165,37.37655783,126.6663678,37.37670031,126.6665289,37.37671831,126.6665469,8Q989MG8+HW4W
166,37.37655017,126.6663537,37.37669925,126.6665324,37.37671685,126.66655,8Q989MG8+HW84
167,37.376541,126.6663525,37.37669816,126.6665357,37.37671536,126.6665529,8Q989MG8+HW89
168,37.3765255,126.666358,37.37669681,126.6665394,37.37671361,126.6665562,8Q989MG8+HW8H
169,37.37650967,126.6663532,37.37669566,126.6665426,37.37671206,126.666559,8Q989MG8+HW9J
170,37.3764955,126.6663585,37.37669429,126.6665463,37.37671029,126.6665623,8Q989MG8+HW9R
171,37.37648667,126.6663578,37.37669299,126.6665496,37.37670859,126.6665652,8Q989MG8+HWH3
172,37.37647783,126.6663613,37.3766918,126.6665526,37.376707,126.6665678,8Q989MG8+HWH3
173,37.37647317,126.666366,37.37669051,126.6665559,37.37670531,126.6665707,8Q989MG8+HWH8
174,37.37646567,126.6663703,37.3766892,126.6665591,37.3767036,126.6665735,8Q989MG8+HWHG
175,37.37645667,126.6663772,37.37668783,126.6665623,37.37670183,126.6665763,8Q989MG8+HWHQ
176,37.37644983,126.6663803,37.37668641,126.6665654,37.37670001,126.666579,8Q989MG8+HWHX
177,37.37643817,126.666381,37.37668509,126.6665684,37.37669829,126.6665816,8Q989MG8+HXJ2
178,37.37642733,126.6663823,37.3766837,126.6665717,37.3766965,126.6665845,8Q989MG8+HXJ6
179,37.37642017,126.6663812,37.37668221,126.6665751,37.37669461,126.6665875,8Q989MG8+HXJC
180,37.376411,126.6663902,37.37668076,126.6665785,37.37669276,126.6665905,8Q989MG8+HXJM
181,37.37640267,126.6663982,37.37667923,126.666582,37.37669083,126.6665936,8Q989MG8+HXJV
182,37.376392,126.6664037,37.37667765,126.6665856,37.37668885,126.6665968,8Q989MG8+HXR4
183,37.37638567,126.6664113,37.3766761,126.6665892,37.3766869,126.6666,8Q989MG8+HXR8
184,37.37637933,126.6664172,37.37667445,126.6665928,37.37668485,126.6666032,8Q989MG8+HXRH
185,37.37636983,126.6664183,37.37667281,126.6665964,37.37668281,126.6666064,8Q989MG8+HXRQ
186,37.37635583,126.6664192,37.37667097,126.6666003,37.37668057,126.6666099,8Q989MG8+HXVR
187,37.37635017,126.6664175,37.3766692,126.6666041,37.3766784,126.6666133,8Q989MG8+JX32
188,37.37635183,126.6664158,37.37666741,126.666608,37.37667621,126.6666168,8Q989MG8+JX37
189,,,37.37666555,126.6666121,37.37667395,126.6666205,8Q989MG8+JX3F
190,,,37.37666359,126.6666162,37.37667159,126.6666242,8Q989MG8+JX3P
191,,,37.37666163,126.6666203,37.37666923,126.6666279,8Q989MG8+JX3W
192,,,37.37665944,126.6666246,37.37666664,126.6666318,8Q989MG8+JX75
193,,,37.3766573,126.6666289,37.3766641,126.6666357,8Q989MG8+JX79
194,,,37.37665494,126.6666333,37.37666134,126.6666397,8Q989MG8+JX8C
195,37.376354,126.6664247,37.37665265,126.6666379,37.37665865,126.6666439,8Q989MG8+JX8J
196,37.37634567,126.6664375,37.37665051,126.6666421,37.37665611,126.6666477,8Q989MG8+JX8V
197,,,37.37664841,126.6666466,37.37665361,126.6666518,8Q989MG8+JXG3
198,,,37.37664639,126.6666509,37.37665119,126.6666557,8Q989MG8+JXG8
199,,,37.37664421,126.6666555,37.37664861,126.6666599,8Q989MG8+JXGG
200,,,37.37664207,126.6666603,37.37664607,126.6666643,8Q989MG8+JXGQ
201,,,37.37663991,126.666665,37.37664351,126.6666686,8Q989MG8+JXGX
202,,,37.37663779,126.6666697,37.37664099,126.6666729,8Q989MG8+JXQ2
203,,,37.37663563,126.6666743,37.37663843,126.6666771,8Q989MG8+JXQ6
204,,,37.3766334,126.6666788,37.3766358,126.6666812,8Q989MG8+JXQF
205,,,37.37663088,126.6666836,37.37663288,126.6666856,8Q989MG8+JXQM
206,,,37.37662846,126.6666881,37.37663006,126.6666897,8Q989MG8+JXQW
207,,,37.37662609,126.6666926,37.37662729,126.6666938,8Q989MG8+JXX4
208,,,37.37662358,126.6666974,37.37662438,126.6666982,8Q989MG8+JXX5
209,,,37.37662098,126.6667023,37.37662138,126.6667027,8Q989MG9+J2R6
210,,,37.37661828,126.6667073,37.37661828,126.6667073,8Q989MG9+J2RC
211,,,37.37661558,126.6667122,37.37661598,126.6667126,8Q989MG9+J2RM
212,,,37.37661285,126.6667171,37.37661365,126.6667179,8Q989MG9+J2RV
213,,,37.37661029,126.6667219,37.37661149,126.6667231,8Q989MG9+M224
214,,,37.37660777,126.6667267,37.37660937,126.6667283,8Q989MG9+M228
215,,,37.37660518,126.6667317,37.37660718,126.6667337,8Q989MG9+M22H
216,,,37.37660261,126.6667365,37.37660501,126.6667389,8Q989MG9+M22Q
217,,,37.37659995,126.6667415,37.37660275,126.6667443,8Q989MG9+M23R
218,,,37.37659728,126.6667465,37.37660048,126.6667497,8Q989MG9+M273
219,,,37.37659497,126.6667515,37.37659857,126.6667551,8Q989MG9+M277
220,,,37.37659258,126.6667565,37.37659658,126.6667605,8Q989MG9+M278
221,,,37.37659026,126.6667615,37.37659466,126.6667659,8Q989MG9+M27H
222,,,37.37658794,126.6667668,37.37659274,126.6667716,8Q989MG9+M28C
223,,,37.37658562,126.666772,37.37659082,126.6667772,8Q989MG9+M28M
224,,,37.37658331,126.6667775,37.37658891,126.6667831,8Q989MG9+M28W
225,,,37.37658101,126.6667831,37.37658701,126.6667891,8Q989MG9+M28X
226,,,37.37657842,126.6667888,37.37658482,126.6667952,8Q989MG9+M2H2
227,,,37.37657555,126.6667943,37.37658235,126.6668011,8Q989MG9+M2H2
228,,,37.37657282,126.6667994,37.37658002,126.6668066,8Q989MG9+M2H7
229,,,37.37656989,126.6668045,37.37657749,126.6668121,8Q989MG9+M2H8
230,,,37.37656706,126.6668096,37.37657506,126.6668176,8Q989MG9+M2HH
231,,,37.37656414,126.6668146,37.37657254,126.666823,8Q989MG9+M3CC
232,,,37.37656115,126.6668197,37.37656995,126.6668285,8Q989MG9+M3CM
